17,Jered,1084.53445,0.97309,-1543.94618
18,Less,50.05006,0.04641,-3.54701
19,Jerel,190.46888,0.17724,150.44538
20,Sandi,85.20962,0.09361,37.10201
21,Lesa,169.56332,0.19602,23.85242
22,Paul,145.72842,0.17838,-169.738
23,Sandy,79.69934,0.10353,18.85807
24,Kraig,94.28446,0.12514,-40.90366
25,Merlin,52.09682,0.07216,-50.82198
26,Vanesa,105.85439,0.15582,-25.20501
27,Bailey,77.77346,0.11601,-68.31981
28,Althea,128.90634,0.19629,-121.7381
29,Lucille,229.69649,0.36935,-265.24363
30,Georgene,195.64354,0.32826,177.03531
